ApplicantIncome,,LoanAmount,,Credit_History,,Loan_Status
2301,,78,,1,,Y
1811,,54,,1,,Y
20667,,,,1,,N
3158,,89,,1,,Y
2600,,99,,1,,N
3704,,120,,1,,Y
4124,,115,,1,,Y
9508,,187,,1,,Y
3075,,139,,1,,Y
4400,,127,,0,,N
3153,,134,,1,,Y
5417,,143,,0,,N
2383,,172,,1,,Y
4416,,110,,1,,Y
6875,,200,,1,,Y
4666,,135,,1,,Y
5000,,151,,1,,N
2014,,113,,1,,N
1800,,93,,0,,N
2875,,105,,1,,Y
5000,,132,,1,,Y
1625,,96,,1,,Y
4000,,140,,1,,Y
2000,,,,1,,N
3762,,135,,1,,Y
2400,,104,,0,,N
20233,,480,,1,,N
7667,,185,,,,Y
2917,,84,,1,,Y
2927,,111,,1,,Y
2507,,56,,1,,Y
5746,,144,,,,Y
2473,,159,,1,,N
3399,,111,,1,,Y
3717,,120,,1,,Y
2058,,88,,,,Y
3541,,112,,,,Y
10000,,155,,1,,N
2400,,115,,1,,Y
4342,,124,,1,,Y
3601,,,,1,,Y
3166,,132,,,,Y
15000,,300,,1,,Y
8666,,376,,0,,N
4917,,130,,0,,Y
5818,,184,,1,,Y
4333,,110,,1,,N
2500,,67,,1,,Y
4384,,117,,1,,Y
2935,,98,,1,,Y
2833,,71,,1,,Y
63337,,490,,1,,Y
9833,,182,,1,,Y
5503,,70,,1,,Y
5250,,160,,1,,Y
2500,,176,,1,,Y
1830,,,,0,,N
4160,,71,,1,,Y
2647,,173,,1,,N
2378,,46,,1,,N
4554,,158,,1,,Y
3173,,74,,1,,Y
2583,,125,,1,,Y
2499,,160,,1,,Y
3523,,152,,0,,N
3083,,126,,1,,Y
6333,,259,,,,Y
2625,,187,,1,,Y
9083,,228,,1,,Y
8750,,308,,1,,N
2666,,95,,1,,Y
5500,,105,,0,,N
2423,,130,,1,,Y
3813,,116,,1,,Y
8333,,165,,1,,Y
3875,,67,,1,,N
3000,,100,,0,,N
5167,,200,,1,,Y
4723,,81,,1,,N
5000,,236,,1,,Y
4750,,130,,1,,Y
3013,,95,,,,Y
6822,,141,,1,,Y
6216,,133,,1,,N
2500,,96,,1,,N
5124,,124,,0,,N
6325,,175,,1,,Y
19730,,570,,1,,N
15759,,55,,1,,Y
5185,,155,,1,,Y
9323,,380,,1,,Y
3062,,111,,0,,N
2764,,110,,1,,Y
4817,,120,,1,,Y
8750,,130,,1,,Y
4310,,130,,,,Y
3069,,71,,1,,N
5391,,130,,1,,Y
3333,,128,,1,,Y
5941,,296,,1,,Y
6000,,156,,1,,Y
7167,,128,,1,,Y
4566,,100,,1,,N
3667,,113,,1,,Y
2346,,132,,1,,Y
3010,,,,0,,N
2333,,136,,1,,Y
5488,,125,,1,,Y
9167,,185,,1,,Y
9504,,275,,1,,Y
2583,,120,,,,Y
1993,,113,,1,,Y
3100,,113,,1,,Y
3276,,135,,,,Y
3180,,71,,0,,N
3033,,95,,1,,Y
3902,,109,,1,,Y
1500,,103,,0,,N
2889,,45,,0,,N
2755,,65,,1,,N
2500,,103,,1,,Y
1963,,53,,1,,Y
7441,,194,,1,,N
4547,,115,,1,,Y
2167,,115,,1,,Y
2213,,66,,1,,Y
8300,,152,,0,,N
81000,,360,,0,,N
3867,,62,,1,,N
6256,,160,,,,Y
6096,,218,,0,,N
2253,,110,,1,,Y
2149,,178,,0,,N
2995,,60,,1,,Y
2600,,160,,1,,N
1600,,239,,1,,N
1025,,112,,1,,Y
3246,,138,,1,,Y
5829,,138,,1,,Y
2720,,80,,0,,N
1820,,100,,1,,Y
7250,,110,,0,,N
14880,,96,,1,,Y
2666,,121,,1,,Y
4606,,81,,1,,N
5935,,133,,1,,Y
2920,,87,,1,,Y
2717,,60,,1,,Y
8624,,150,,1,,Y
6500,,105,,0,,N
12876,,405,,1,,Y
2425,,143,,1,,Y
3750,,100,,1,,Y
10047,,,,1,,Y
1926,,50,,1,,Y
2213,,,,1,,Y
10416,,187,,0,,N
7142,,138,,1,,Y
3660,,187,,1,,Y
7901,,180,,1,,Y
4707,,148,,1,,Y
37719,,152,,1,,Y
7333,,175,,,,Y
3466,,130,,1,,Y
4652,,110,,1,,Y
3539,,55,,1,,N
3340,,150,,0,,N
2769,,190,,,,N
2309,,125,,0,,N
1958,,60,,,,Y
3948,,149,,0,,N
2483,,90,,0,,Y
7085,,84,,1,,Y
3859,,96,,1,,Y
4301,,118,,1,,Y
3708,,173,,1,,N
4354,,136,,1,,Y
8334,,160,,1,,N
2083,,160,,,,Y
7740,,128,,1,,Y
3015,,153,,1,,Y
5191,,132,,1,,Y
4166,,98,,0,,N
6000,,140,,1,,Y
2947,,70,,0,,N
16692,,110,,1,,Y
210,,98,,1,,Y
4333,,110,,1,,N
3450,,162,,1,,Y
2653,,113,,0,,N
4691,,100,,1,,Y
2500,,93,,,,Y
5532,,162,,1,,Y
16525,,150,,1,,Y
6700,,230,,1,,Y
2873,,132,,0,,N
16667,,86,,1,,Y
2947,,,,1,,N
4350,,154,,1,,Y
3095,,113,,1,,Y
2083,,128,,1,,Y
10833,,234,,1,,Y
8333,,246,,1,,Y
1958,,131,,1,,Y
3547,,80,,0,,N
18333,,500,,1,,N
4583,,160,,1,,Y
2435,,75,,1,,N
2699,,96,,,,Y
5333,,186,,,,Y
3691,,110,,1,,Y
17263,,225,,1,,Y
3597,,119,,0,,N
3326,,105,,1,,Y
2600,,107,,1,,Y
4625,,111,,,,Y
2895,,95,,1,,Y
6283,,209,,0,,N
645,,113,,1,,Y
3159,,100,,1,,Y
4865,,208,,1,,Y
4050,,138,,,,N
3814,,124,,1,,Y
3510,,243,,1,,Y
20833,,480,,,,Y
3583,,96,,1,,N
2479,,188,,1,,Y
13262,,40,,1,,Y
3598,,100,,1,,N
6065,,250,,1,,Y
3283,,148,,1,,Y
2130,,70,,1,,N
5815,,311,,1,,N
3466,,150,,1,,Y
2031,,113,,1,,Y
3074,,123,,0,,N
4683,,185,,1,,N
3400,,95,,1,,N
2192,,45,,1,,Y
2500,,55,,1,,Y
5677,,100,,1,,Y
7948,,480,,1,,Y
4680,,,,1,,N
17500,,400,,1,,Y
3775,,110,,1,,Y
5285,,161,,0,,Y
2679,,94,,1,,Y
6783,,130,,1,,Y
1025,,216,,,,Y
4281,,100,,1,,Y
3588,,110,,0,,N
11250,,196,,,,N
18165,,125,,1,,Y
2550,,126,,1,,Y
6133,,324,,1,,Y
3617,,107,,1,,Y
2917,,66,,1,,N
6417,,157,,1,,Y
4608,,140,,1,,Y
2138,,99,,0,,N
3652,,95,,1,,Y
2239,,128,,1,,Y
3017,,102,,,,Y
2768,,155,,1,,Y
3358,,80,,1,,N
2526,,145,,1,,Y
5000,,103,,0,,N
2785,,110,,1,,Y
6633,,,,0,,N
2492,,,,1,,Y
3333,,158,,1,,Y
2454,,181,,0,,N
3593,,132,,0,,N
5468,,26,,1,,Y
2667,,84,,,,Y
10139,,260,,1,,Y
3887,,162,,1,,Y
4180,,182,,1,,Y
3675,,108,,1,,Y
19484,,600,,1,,Y
5923,,211,,1,,Y
5800,,132,,1,,Y
8799,,258,,0,,N
4467,,120,,,,Y
3333,,70,,1,,Y
3400,,123,,0,,N
2378,,9,,1,,N
3166,,104,,0,,N
3417,,186,,1,,Y
5116,,165,,0,,N
16666,,275,,1,,Y
6125,,187,,1,,N
6406,,150,,1,,N
3159,,108,,1,,Y
3087,,136,,0,,N
3229,,110,,1,,Y
1782,,107,,1,,Y
3182,,161,,1,,Y
6540,,205,,1,,Y
1836,,90,,1,,N
3166,,36,,1,,Y
1880,,61,,,,N
2787,,146,,0,,N
4283,,172,,1,,N
2297,,104,,1,,Y
2165,,70,,1,,Y
4750,,94,,1,,Y
2726,,106,,0,,N
3000,,56,,1,,Y
6000,,205,,1,,N
9357,,292,,1,,Y
3859,,142,,1,,Y
16120,,260,,1,,Y
3833,,110,,1,,Y
6383,,187,,1,,N
2987,,88,,0,,N
9963,,180,,1,,Y
5780,,192,,1,,Y
416,,350,,,,N
2894,,155,,1,,Y
5703,,128,,1,,Y
3676,,172,,1,,Y
12000,,496,,1,,Y
2400,,,,1,,N
3400,,173,,1,,Y
3987,,157,,1,,Y
3232,,108,,1,,Y
2900,,71,,1,,Y
4106,,40,,1,,Y
8072,,253,,1,,Y
7583,,187,,1,,Y
4583,,133,,0,,N
